explained_variance,fps,value_loss,nupdates,total_timesteps,policy_entropy
0.9725622814148664,587,0.006570182740688324,263000,5260000,1.9840589761734009
0.9972632876597345,587,0.0025312993675470352,263100,5262000,2.112703323364258
0.8964274823665619,587,0.014212032780051231,263200,5264000,1.8494104146957397
0.9738058540970087,587,0.012611773796379566,263300,5266000,2.103364944458008
0.9767911043018103,587,0.007230331189930439,263400,5268000,2.0656790733337402
0.9917692244052887,587,0.0037012987304478884,263500,5270000,1.8233392238616943
0.9984391119796783,587,0.000820241984911263,263600,5272000,2.0877907276153564
0.9830683767795563,587,0.005137933883816004,263700,5274000,2.026465892791748
0.9977772950660437,587,0.0009688738500699401,263800,5276000,1.974678635597229
0.9973194897174835,587,0.0013680510455742478,263900,5278000,2.058870553970337
0.9638567306101322,587,0.003916230984032154,264000,5280000,2.037405490875244
0.9815296307206154,587,0.005823178682476282,264100,5282000,2.114426851272583
0.9864291464909911,587,0.0016413178527727723,264200,5284000,2.102168083190918
0.9634662456810474,587,0.01741987094283104,264300,5286000,1.7920284271240234
0.6420602798461914,587,0.14056187868118286,264400,5288000,1.7361093759536743
0.9881429495289922,587,0.0035764414351433516,264500,5290000,1.6416734457015991
0.9967380685266107,588,0.0025293747894465923,264600,5292000,1.7307987213134766
0.9948048861697316,588,0.0013529087882488966,264700,5294000,2.173987865447998
0.9943379401229322,588,0.001960599794983864,264800,5296000,1.954991102218628
0.9714072030037642,588,0.010120151564478874,264900,5298000,1.7389802932739258
0.9302215352654457,588,0.009115736000239849,265000,5300000,1.8806116580963135
0.9903300544247031,588,0.00641666492447257,265100,5302000,1.8514416217803955
0.987844817340374,588,0.0029448908753693104,265200,5304000,2.0177998542785645
0.9651123769581318,588,0.004196543246507645,265300,5306000,1.9292051792144775
0.9738445747643709,588,0.002174409804865718,265400,5308000,2.150041341781616
0.212019681930542,588,0.03870335966348648,265500,5310000,1.822935700416565
0.6664785444736481,588,0.027903849259018898,265600,5312000,1.9961330890655518
0.9899090025573969,588,0.0029333687853068113,265700,5314000,2.1729063987731934
0.962129220366478,588,0.015099264681339264,265800,5316000,1.9842504262924194
0.9576817266643047,588,0.012886765412986279,265900,5318000,2.071376323699951
0.9624720141291618,588,0.024532627314329147,266000,5320000,1.693846344947815
0.9583420492708683,588,0.00780585128813982,266100,5322000,1.9770748615264893
0.9079193398356438,588,0.08363321423530579,266200,5324000,2.0020999908447266
0.9768153186887503,589,0.01029651053249836,266300,5326000,1.9489713907241821
0.9197270646691322,589,0.011027301661670208,266400,5328000,1.9074878692626953
0.9707114137709141,589,0.012957831844687462,266500,5330000,1.9680302143096924
0.993062611669302,589,0.0013524979585781693,266600,5332000,2.1467947959899902
0.980096910148859,589,0.007018746342509985,266700,5334000,2.0268592834472656
0.9959638956934214,589,0.001469707116484642,266800,5336000,1.9992401599884033
0.9959905906580389,589,0.002970761153846979,266900,5338000,2.0498642921447754
0.9700616262853146,589,0.009430620819330215,267000,5340000,1.6772081851959229
0.976972034201026,589,0.00733392545953393,267100,5342000,2.0184712409973145
0.9849586822092533,589,0.008730235509574413,267200,5344000,1.9647934436798096
0.9878999320790172,589,0.004163031466305256,267300,5346000,2.086884021759033
0.9563800282776356,589,0.01387873012572527,267400,5348000,1.9006783962249756
0.9768557623028755,589,0.009838802739977837,267500,5350000,1.9854854345321655
0.9851472908630967,589,0.004032563418149948,267600,5352000,1.926513671875
0.9792065024375916,589,0.012401747517287731,267700,5354000,1.9787356853485107
0.9581600576639175,589,0.015971727669239044,267800,5356000,1.9900920391082764
-1.2621996402740479,589,0.06875517219305038,267900,5358000,1.864598035812378
0.9917348651215434,589,0.0010640370892360806,268000,5360000,1.7893396615982056
0.9823224898427725,590,0.005460092797875404,268100,5362000,1.9246524572372437
0.9944157348945737,590,0.002018282189965248,268200,5364000,2.0872578620910645
0.6603822410106659,590,0.19041787087917328,268300,5366000,1.913146734237671
0.9134921059012413,590,0.04303518682718277,268400,5368000,1.9943921566009521
0.7654456049203873,590,0.03015211783349514,268500,5370000,1.9675956964492798
0.9397545084357262,590,0.006571277976036072,268600,5372000,2.035944700241089
0.9741663001477718,590,0.008884894661605358,268700,5374000,1.9921729564666748
-1.0120108127593994,590,0.007431928068399429,268800,5376000,2.049071788787842
0.9628999717533588,590,0.012881191447377205,268900,5378000,2.0801281929016113
0.98003881983459,590,0.010073093697428703,269000,5380000,2.004568576812744
0.9705081731081009,590,0.004447964020073414,269100,5382000,1.8294098377227783
0.9386340975761414,590,0.003273719223216176,269200,5384000,1.7060298919677734
0.9815543703734875,590,0.005156764294952154,269300,5386000,2.1156668663024902
0.9695121012628078,590,0.006521523930132389,269400,5388000,2.0153098106384277
0.9905472425743937,590,0.0032658916898071766,269500,5390000,1.9930469989776611
0.952147550880909,590,0.007874052040278912,269600,5392000,2.0357630252838135
0.8288437873125076,590,0.035092730075120926,269700,5394000,1.8212617635726929
0.9682854525744915,591,0.023051563650369644,269800,5396000,1.9764143228530884
0.9750351645052433,591,0.007352132350206375,269900,5398000,2.1287946701049805
0.9456783458590508,591,0.032421816140413284,270000,5400000,1.8750956058502197
0.8628483563661575,591,0.04417620971798897,270100,5402000,1.8692821264266968
0.981483981013298,591,0.006556482054293156,270200,5404000,2.052793025970459
0.9902976267039776,591,0.002633820753544569,270300,5406000,1.854339599609375
0.9815589357167482,591,0.00804559513926506,270400,5408000,2.055635452270508
0.9475730434060097,591,0.005994229577481747,270500,5410000,2.127488613128662
0.9842223767191172,591,0.009613151662051678,270600,5412000,2.0405263900756836
0.43188637495040894,591,0.04835055023431778,270700,5414000,1.744908094406128
0.7557770013809204,591,0.04692143574357033,270800,5416000,1.9534485340118408
0.944274477660656,591,0.01485452800989151,270900,5418000,2.1100406646728516
0.9251743927598,591,0.0119766965508461,271000,5420000,1.9099798202514648
0.9892151728272438,591,0.00495411129668355,271100,5422000,1.9903318881988525
0.99504613596946,591,0.0022822869941592216,271200,5424000,1.9201902151107788
0.9942312343046069,591,0.00530683109536767,271300,5426000,1.9894893169403076
0.9971029066946357,591,0.0014031680766493082,271400,5428000,2.033728837966919
0.9779734052717686,591,0.01736200600862503,271500,5430000,2.0278046131134033
0.9923343360424042,591,0.0023053474724292755,271600,5432000,2.0600430965423584
0.9203888401389122,592,0.02460598573088646,271700,5434000,2.1096749305725098
0.7132375240325928,592,0.1730787307024002,271800,5436000,1.8437258005142212
0.965143010020256,592,0.0138371791690588,271900,5438000,1.8987191915512085
0.9018165618181229,592,0.02040679380297661,272000,5440000,1.7929658889770508
0.997221085941419,592,0.0003984399954788387,272100,5442000,2.025709867477417
0.9815017748624086,592,0.003095716703683138,272200,5444000,2.0365798473358154
0.6133190393447876,592,0.01066402718424797,272300,5446000,1.991946816444397
0.6863521337509155,592,0.07845897227525711,272400,5448000,1.8744585514068604
0.8027479350566864,592,0.011962728574872017,272500,5450000,1.9628835916519165
0.9528354816138744,592,0.006928247399628162,272600,5452000,1.9738242626190186
0.9645111262798309,592,0.01666996255517006,272700,5454000,1.7901195287704468
0.8712621331214905,592,0.011583738029003143,272800,5456000,1.8776235580444336
0.9682821519672871,592,0.015804965049028397,272900,5458000,1.9111385345458984
0.9174216687679291,592,0.02453777566552162,273000,5460000,2.048098087310791
0.9558324180543423,592,0.010898198001086712,273100,5462000,2.0539069175720215
0.9746132884174585,592,0.010224247351288795,273200,5464000,1.9276678562164307
0.9926542774774134,592,0.0036187879741191864,273300,5466000,2.0602641105651855
0.10592758655548096,592,0.265983521938324,273400,5468000,1.9238481521606445
0.815657302737236,593,0.0048109688796103,273500,5470000,1.866636872291565
0.7473623156547546,593,0.19512939453125,273600,5472000,1.97770094871521
0.9607083164155483,593,0.032505102455616,273700,5474000,1.900579810142517
0.9022945091128349,593,0.010811731219291687,273800,5476000,1.7427390813827515
0.9934351635165513,593,0.003595188958570361,273900,5478000,1.803866982460022
0.9822458848357201,593,0.003473931457847357,274000,5480000,2.1534876823425293
0.9763308595865965,593,0.005707422737032175,274100,5482000,2.0605814456939697
0.8968878015875816,593,0.014788292348384857,274200,5484000,1.6065422296524048
0.9921586271375418,593,0.0031845122575759888,274300,5486000,2.163329839706421
0.9966294209007174,593,0.001660175621509552,274400,5488000,2.0106024742126465
0.9904412720352411,593,0.0012035249965265393,274500,5490000,2.0909810066223145
0.9664754830300808,593,0.0189223513007164,274600,5492000,1.957909345626831
0.8918828070163727,593,0.07553630322217941,274700,5494000,2.0531394481658936
0.4913492798805237,593,0.019350185990333557,274800,5496000,1.7410634756088257
0.9031339585781097,593,0.03534218668937683,274900,5498000,2.012524366378784
-0.09217464923858643,593,0.014404289424419403,275000,5500000,2.034419536590576
0.8246889412403107,593,0.010944878682494164,275100,5502000,2.0393905639648438
0.9643038101494312,593,0.008200017735362053,275200,5504000,2.1476147174835205
0.8633166253566742,593,0.073895663022995,275300,5506000,1.935321569442749
0.7891090363264084,594,0.029440846294164658,275400,5508000,1.7298142910003662
0.9875549720600247,594,0.008369957096874714,275500,5510000,1.8820054531097412
0.5627859532833099,594,0.009666160680353642,275600,5512000,1.9234306812286377
0.9833702482283115,594,0.005593526177108288,275700,5514000,1.9641040563583374
0.9721240624785423,594,0.004338955972343683,275800,5516000,1.8063671588897705
0.9238003268837929,594,0.005901833530515432,275900,5518000,1.948175072669983
0.6708694100379944,594,0.09171593189239502,276000,5520000,1.8843075037002563
0.9880248960107565,594,0.002417193027213216,276100,5522000,1.8501577377319336
0.9751957561820745,594,0.009263168089091778,276200,5524000,1.9321458339691162
0.9505564160645008,594,0.0070412056520581245,276300,5526000,1.759141206741333
0.9925176589749753,594,0.0027389698661863804,276400,5528000,2.1020519733428955
0.9680434167385101,594,0.017710786312818527,276500,5530000,1.883398413658142
0.9166890308260918,594,0.03538845106959343,276600,5532000,2.098611831665039
0.9851757697761059,594,0.005495306570082903,276700,5534000,2.1018011569976807
0.6118992567062378,594,0.022085009142756462,276800,5536000,1.8920414447784424
0.8249251246452332,594,0.03924695402383804,276900,5538000,2.0831286907196045
0.9919848209246993,594,0.0017295446014031768,277000,5540000,2.01633358001709
0.9951434708200395,594,0.0024293996393680573,277100,5542000,2.0480456352233887
0.9441365264356136,595,0.013943907804787159,277200,5544000,1.9580093622207642
0.9921543514356017,595,0.005316507071256638,277300,5546000,2.120497941970825
0.9728962779045105,595,0.004896687809377909,277400,5548000,2.073066234588623
0.7946683913469315,595,0.01174265705049038,277500,5550000,1.8160196542739868
0.9869394488632679,595,0.0033725432585924864,277600,5552000,2.0899839401245117
0.6434607803821564,595,0.005678030662238598,277700,5554000,1.9299180507659912
0.9946580911055207,595,0.002112257294356823,277800,5556000,2.1052699089050293
0.9885204527527094,595,0.007354426197707653,277900,5558000,1.729748010635376
0.9636188931763172,595,0.016923630610108376,278000,5560000,2.05116868019104
0.9335068538784981,595,0.012604559771716595,278100,5562000,1.8957107067108154
0.9888500981032848,595,0.009835424832999706,278200,5564000,1.8679879903793335
0.9582666717469692,595,0.018061749637126923,278300,5566000,1.8300800323486328
0.9571232534945011,595,0.022227883338928223,278400,5568000,1.8598201274871826
