#{"t_start": 1525402155.9304774, "env_id": "FrostbiteNoFrameskip-v4"}
r,l,t
220.0,515,2219.154837
230.0,486,2222.595196
230.0,558,2226.555964
190.0,573,2230.610849
220.0,523,2234.289945
200.0,503,2237.846989
270.0,600,2242.190913
180.0,413,2245.159348
270.0,582,2249.2559
180.0,410,2252.133232
200.0,536,2255.999641
210.0,448,2259.157775
260.0,571,2263.217674
180.0,489,2266.750215
210.0,479,2270.133674
230.0,554,2274.074394
200.0,459,2277.383806
230.0,586,2281.544392
210.0,461,2284.691664
250.0,564,2288.686655
220.0,421,2291.663999
210.0,481,2295.066136
220.0,528,2298.874244
250.0,563,2302.86406
250.0,511,2306.364863
210.0,488,2309.88064
260.0,521,2313.558496
220.0,561,2317.525426
260.0,632,2322.019522
260.0,586,2326.123661
250.0,582,2330.265278
210.0,483,2333.638685
250.0,593,2337.833746
210.0,502,2341.470774
230.0,576,2345.51106
240.0,524,2349.15557
210.0,511,2352.748953
170.0,398,2355.418927
260.0,531,2359.126565
260.0,548,2362.971168
260.0,591,2367.156612
210.0,486,2370.530176
270.0,574,2374.554206
270.0,572,2378.537706
210.0,504,2382.049783
230.0,478,2385.393564
200.0,515,2389.014308
210.0,473,2392.387181
230.0,508,2395.920636
270.0,564,2399.853634
210.0,493,2403.275135
250.0,562,2407.145567
210.0,514,2410.709989
180.0,465,2413.897213
240.0,526,2417.6237
250.0,515,2421.173023
240.0,505,2424.737121
180.0,440,2427.748532
240.0,519,2431.41519
240.0,538,2435.228621
230.0,482,2438.603629
240.0,489,2442.103714
220.0,512,2445.728271
260.0,590,2449.902405
210.0,570,2453.940768
220.0,552,2457.812437
220.0,473,2461.17091
250.0,577,2465.370049
210.0,460,2468.619543
250.0,478,2472.022308
240.0,499,2475.555694
230.0,571,2479.629211
210.0,466,2482.946282
250.0,543,2486.808416
210.0,444,2489.928272
220.0,609,2494.290292
250.0,513,2497.861519
240.0,582,2501.95884
220.0,470,2505.322082
200.0,504,2508.825541
250.0,571,2512.82588
250.0,553,2516.713876
250.0,618,2520.974434
210.0,555,2524.907653
210.0,493,2528.305931
240.0,501,2531.729465
250.0,528,2535.348802
230.0,573,2539.30042
270.0,580,2543.363833
240.0,545,2547.139524
250.0,521,2550.735456
270.0,653,2555.167156
170.0,432,2558.116106
260.0,589,2562.207371
230.0,541,2565.951847
180.0,438,2568.981263
220.0,499,2572.404923
210.0,549,2576.120014
220.0,520,2579.654121
220.0,489,2583.082311
250.0,526,2586.725166
250.0,558,2590.578693
230.0,488,2593.932782
220.0,534,2597.666466
260.0,593,2601.785919
230.0,573,2605.787753
240.0,578,2609.785239
220.0,486,2613.170383
260.0,515,2616.81271
250.0,542,2620.634583
270.0,654,2625.238813
230.0,593,2629.442194
260.0,559,2633.307943
200.0,481,2636.741792
270.0,574,2640.779722
240.0,652,2645.380549
220.0,492,2648.895212
250.0,570,2652.939146
250.0,511,2656.558987
260.0,514,2660.146711
270.0,587,2664.212919
210.0,451,2667.369279
250.0,627,2671.830449
220.0,473,2675.149208
200.0,454,2678.315672
250.0,634,2682.702545
180.0,462,2685.97925
210.0,497,2689.504941
220.0,500,2693.061311
240.0,522,2696.761121
260.0,550,2700.550785
180.0,405,2703.338792
260.0,620,2707.632876
260.0,572,2711.668971
260.0,548,2715.458878
250.0,515,2719.09322
120.0,364,2721.508972
260.0,590,2725.676485
270.0,560,2729.609142
260.0,636,2733.982815
230.0,452,2737.092514
270.0,558,2740.965997
250.0,523,2744.593611
220.0,460,2747.912584
220.0,451,2751.02288
250.0,569,2754.983083
220.0,465,2758.219508
240.0,533,2761.892693
210.0,494,2765.347836
210.0,522,2769.076045
220.0,520,2772.624507
240.0,631,2777.128237
260.0,521,2780.72058
210.0,463,2783.919526
220.0,504,2787.456948
200.0,462,2790.655849
230.0,495,2794.139205
260.0,517,2797.797386
260.0,589,2801.991894
230.0,486,2805.430225
280.0,633,2809.877555
240.0,626,2814.22594
250.0,562,2818.230308
240.0,524,2821.886712
260.0,551,2825.701338
240.0,528,2829.275142
210.0,525,2832.934189
250.0,637,2837.417915
240.0,513,2841.016891
210.0,477,2844.426083
270.0,585,2848.490632
220.0,569,2852.587337
250.0,542,2856.417755
230.0,545,2860.22296
230.0,508,2863.768464
240.0,581,2867.911864
270.0,563,2871.822852
250.0,475,2874.986188
240.0,562,2878.926007
240.0,517,2882.486055
260.0,605,2886.72461
220.0,525,2890.461006
250.0,504,2893.999165
200.0,478,2897.260529
260.0,509,2900.800989
240.0,527,2904.473892
240.0,536,2908.27309
210.0,515,2911.957041
220.0,521,2915.481813
260.0,570,2919.511645
180.0,449,2922.685101
260.0,513,2926.221969
250.0,504,2929.648286
250.0,576,2933.719378
220.0,574,2937.789333
240.0,495,2941.306802
240.0,535,2945.037476
270.0,522,2948.637996
240.0,520,2952.314897
270.0,562,2956.215575
260.0,508,2959.733293
270.0,568,2963.733032
260.0,517,2967.349067
240.0,653,2971.91226
230.0,522,2975.504076
240.0,573,2979.479622
270.0,588,2983.592383
250.0,590,2987.608387
240.0,511,2991.260585
210.0,456,2994.477799
220.0,452,2997.634822
210.0,491,3001.104695
270.0,527,3004.696058
240.0,548,3008.502259
240.0,510,3012.052458
220.0,532,3015.697111
240.0,594,3019.916271
200.0,430,3022.892352
260.0,589,3026.939203
260.0,501,3030.392179
200.0,489,3033.709101
220.0,558,3037.647472
250.0,596,3041.877748
270.0,553,3045.824351
240.0,542,3049.672306
270.0,586,3053.701549
180.0,515,3057.337534
240.0,510,3060.88085
220.0,556,3064.780438
250.0,536,3068.554611
210.0,485,3071.920691
270.0,686,3076.759049
220.0,495,3080.258631
190.0,449,3083.406238
250.0,545,3087.251744
250.0,498,3090.736062
170.0,407,3093.576722
240.0,477,3096.854477
270.0,591,3101.029413
210.0,589,3105.115006
210.0,448,3108.224649
240.0,574,3112.227006
240.0,521,3115.908676
250.0,559,3119.879429
230.0,469,3123.074234
260.0,529,3126.652199
250.0,517,3130.196763
220.0,503,3133.622496
240.0,636,3138.032037
240.0,537,3141.76063
260.0,547,3145.486406
260.0,604,3149.771719
240.0,500,3153.240318
220.0,463,3156.491061
240.0,492,3159.938546
240.0,527,3163.541722
210.0,552,3167.384361
210.0,474,3170.692958
240.0,650,3175.18969
240.0,496,3178.65431
230.0,481,3181.965941
270.0,643,3186.429687
270.0,517,3190.091718
240.0,500,3193.564025
270.0,546,3197.375016
250.0,573,3201.322537
240.0,578,3205.305013
190.0,413,3208.217518
220.0,522,3211.888272
170.0,429,3214.855017
180.0,423,3217.838284
220.0,479,3221.185615
240.0,561,3225.088799
260.0,525,3228.730656
260.0,488,3232.119716
260.0,528,3235.790451
160.0,402,3238.545403
190.0,443,3241.661323
240.0,496,3245.106102
220.0,539,3248.906357
220.0,481,3252.254506
250.0,587,3256.283661
260.0,496,3259.755728
240.0,600,3263.967796
250.0,488,3267.406004
240.0,503,3270.928242
250.0,521,3274.623475
180.0,473,3277.942601
270.0,565,3281.881204
240.0,609,3286.157719
260.0,553,3289.982456
270.0,600,3294.173175
220.0,538,3297.950082
240.0,493,3301.391181
240.0,579,3305.468643
240.0,501,3308.98555
260.0,573,3312.962975
140.0,405,3315.791356
200.0,498,3319.211635
240.0,539,3323.009928
250.0,540,3326.75009
240.0,519,3330.350905
240.0,664,3334.987746
240.0,479,3338.326074
240.0,553,3342.152191
260.0,550,3346.054034
240.0,562,3349.97728
240.0,524,3353.679367
240.0,492,3357.044775
260.0,556,3360.988462
210.0,460,3364.141337
210.0,557,3368.052728
240.0,517,3371.55737
230.0,473,3374.85636
240.0,646,3379.41678
170.0,423,3382.268776
220.0,569,3386.310003
240.0,580,3390.360378
260.0,566,3394.289202
240.0,505,3397.755932
240.0,534,3401.537984
240.0,526,3405.185003
260.0,527,3408.831214
240.0,566,3412.693949
240.0,501,3416.215184
230.0,526,3419.87045
220.0,472,3423.223721
220.0,483,3426.685096
240.0,544,3430.593716
250.0,594,3434.756115
190.0,444,3437.78326
200.0,449,3441.001328
240.0,496,3444.538526
260.0,547,3448.424428
220.0,598,3452.682317
270.0,537,3456.406786
240.0,499,3459.956253
240.0,500,3463.50555
240.0,553,3467.462176
220.0,483,3470.813011
230.0,563,3474.740193
240.0,627,3479.184176
210.0,493,3482.668666
240.0,490,3486.079769
240.0,506,3489.722577
240.0,493,3493.086956
250.0,519,3496.729677
240.0,571,3500.786087
240.0,522,3504.438998
240.0,497,3507.848793
200.0,447,3510.939363
270.0,567,3514.953139
250.0,589,3519.041243
240.0,535,3522.782445
240.0,602,3527.039217
280.0,534,3530.760195
240.0,619,3535.073086
240.0,540,3538.754405
250.0,563,3542.688434
220.0,529,3546.347885
250.0,581,3550.431219
260.0,556,3554.230613
290.0,730,3559.414042
240.0,502,3562.954508
180.0,460,3566.210016
170.0,445,3569.321197
210.0,545,3573.00747
250.0,569,3577.061283
240.0,533,3580.709072
270.0,565,3584.646641
240.0,499,3588.034308
270.0,636,3592.534768
270.0,629,3596.956359
210.0,451,3600.094518
230.0,465,3603.403548
210.0,438,3606.486562
210.0,511,3610.019182
210.0,446,3613.144125
240.0,499,3616.729341
210.0,531,3620.44335
240.0,509,3624.054005
240.0,525,3627.649537
240.0,530,3631.352779
250.0,528,3635.110114
270.0,567,3639.034533
240.0,572,3643.084592
240.0,503,3646.578274
210.0,450,3649.779761
250.0,528,3653.454559
260.0,525,3657.083089
250.0,551,3660.994643
240.0,525,3664.646885
240.0,509,3668.297215
270.0,535,3672.086874
250.0,528,3675.800917
240.0,564,3679.769815
240.0,610,3684.041416
220.0,572,3688.018546
220.0,497,3691.39382
260.0,564,3694.24116
240.0,534,3696.901526
270.0,528,3699.541401
240.0,513,3702.042633
210.0,493,3704.494468
270.0,700,3707.933505
230.0,492,3710.344599
240.0,509,3712.880609
240.0,504,3715.394959
270.0,522,3717.933638
240.0,632,3721.017192
220.0,487,3723.377788
200.0,516,3725.923747
210.0,471,3728.238388
240.0,491,3730.643852
240.0,575,3733.453997
240.0,635,3736.59971
170.0,457,3738.86169
270.0,608,3741.902816
260.0,549,3744.677297
240.0,507,3747.198905
240.0,516,3749.781424
250.0,512,3752.335347
270.0,528,3754.977867
210.0,461,3757.280022
220.0,502,3759.828284
250.0,535,3762.437895
200.0,469,3764.767352
240.0,529,3767.394484
270.0,601,3770.404258
260.0,615,3773.3796
200.0,506,3775.8926
240.0,499,3778.370066
250.0,545,3781.047129
250.0,602,3784.048863
250.0,538,3786.72559
210.0,442,3788.893284
230.0,587,3791.80099
240.0,728,3795.404869
240.0,500,3797.895441
170.0,415,3799.946139
180.0,478,3802.295464
220.0,528,3804.972295
200.0,479,3807.36124
240.0,479,3809.794053
240.0,590,3812.729722
200.0,519,3815.3207
190.0,409,3817.343194
240.0,515,3819.936024
280.0,595,3822.916517
220.0,448,3825.124064
240.0,496,3827.645473
240.0,493,3830.064627
240.0,570,3832.907488
210.0,472,3835.247533
210.0,531,3837.875786
240.0,525,3840.491746
240.0,507,3843.020593
210.0,517,3845.541169
220.0,477,3847.919083
280.0,594,3850.832886
260.0,562,3853.586395
260.0,506,3856.108036
250.0,584,3859.063903
200.0,445,3861.269137
240.0,510,3863.860064
240.0,683,3867.298238
220.0,598,3870.279289
220.0,505,3872.897597
240.0,498,3875.379805
250.0,510,3878.015426
240.0,554,3880.738792
270.0,547,3883.422766
240.0,527,3886.103341
240.0,483,3888.560575
210.0,528,3891.179053
250.0,591,3894.112019
250.0,534,3896.809392
240.0,569,3899.662646
250.0,566,3902.535391
260.0,521,3905.108956
240.0,524,3907.69657
240.0,648,3910.973649
200.0,516,3913.549994
170.0,427,3915.651155
160.0,428,3917.768142
260.0,571,3920.667917
270.0,512,3923.256176
220.0,505,3925.798688
240.0,497,3928.249724
220.0,473,3930.603926
240.0,507,3933.162855
240.0,521,3935.784883
270.0,640,3938.957676
230.0,514,3941.554977
260.0,585,3944.572458
220.0,480,3946.982399
280.0,615,3950.098996
240.0,640,3953.245054
220.0,482,3955.63491
240.0,506,3958.178607
240.0,589,3961.064056
260.0,514,3963.622539
240.0,542,3966.380766
240.0,547,3969.11793
240.0,562,3971.916024
260.0,564,3974.73069
240.0,621,3977.865108
270.0,602,3980.907609
210.0,482,3983.320537
240.0,540,3986.020603
200.0,485,3988.413833
240.0,535,3991.095752
