value_loss,nupdates,fps,explained_variance,total_timesteps,policy_entropy
0.0046019540168344975,18300,779,0.978870453312993,366000,1.7889022827148438
0.003489299211651087,18400,779,0.9680237174034119,368000,1.7867463827133179
0.007200540043413639,18500,779,0.9252452701330185,370000,1.7808380126953125
0.011253167875111103,18600,779,0.9418659210205078,372000,1.7781040668487549
0.013500506989657879,18700,779,0.6491430997848511,374000,1.7819995880126953
0.004796878434717655,18800,779,0.9800200946629047,376000,1.7777297496795654
0.0019385231425985694,18900,779,0.9740405213087797,378000,1.7680155038833618
0.010167937725782394,19000,779,0.6486569941043854,380000,1.7788102626800537
0.0042031616903841496,19100,779,-0.10080444812774658,382000,1.777220368385315
0.01596248149871826,19200,779,0.3098224401473999,384000,1.7809079885482788
0.00636536767706275,19300,779,0.8309245407581329,386000,1.7827398777008057
0.06938526779413223,19400,779,-0.26571333408355713,388000,1.7826274633407593
0.026910969987511635,19500,779,-0.06092679500579834,390000,1.783092737197876
0.003835659474134445,19600,779,0.9021903350949287,392000,1.7749788761138916
0.07043609023094177,19700,779,-0.09812009334564209,394000,1.7827987670898438
0.0020684830378741026,19800,779,0.9485120959579945,396000,1.7556766271591187
0.0026684931945055723,19900,779,0.03534507751464844,398000,1.7683594226837158
0.004225991666316986,20000,779,0.9495084844529629,400000,1.7498273849487305
0.0027820696122944355,20100,779,0.9928832040168345,402000,1.7582250833511353
0.0019774893298745155,20200,779,0.8960687294602394,404000,1.76028573513031
0.0029548238962888718,20300,779,0.8878438919782639,406000,1.767303705215454
0.06759633868932724,20400,779,0.614014595746994,408000,1.7521671056747437
0.007422450929880142,20500,779,0.5851476192474365,410000,1.7472660541534424
0.021429860964417458,20600,779,0.7069278955459595,412000,1.7569221258163452
0.006113077513873577,20700,779,0.8870416209101677,414000,1.7571773529052734
0.0089907580986619,20800,779,0.5880682468414307,416000,1.7649643421173096
0.018816744908690453,20900,779,0.8501822203397751,418000,1.7753360271453857
0.0019439285388216376,21000,779,0.9762214794754982,420000,1.7727620601654053
0.0723201259970665,21100,779,0.29741621017456055,422000,1.7662492990493774
0.008866917341947556,21200,779,0.21048641204833984,424000,1.753395676612854
0.08712596446275711,21300,779,0.015011906623840332,426000,1.7656104564666748
0.010850204154849052,21400,779,0.9415726400911808,428000,1.7748501300811768
0.007213191594928503,21500,779,0.878680519759655,430000,1.771140694618225
0.0019373686518520117,21600,779,0.955046147108078,432000,1.7566190958023071
0.004200479947030544,21700,779,0.8218819946050644,434000,1.7564709186553955
0.0032793700229376554,21800,779,0.9176147356629372,436000,1.7618865966796875
0.0147158307954669,21900,779,0.7089118957519531,438000,1.7560827732086182
0.002719097537919879,22000,779,0.9932456267997622,440000,1.7614176273345947
0.00910776387900114,22100,779,0.8494709134101868,442000,1.7707691192626953
0.04279667139053345,22200,779,0.47327786684036255,444000,1.7826979160308838
0.005880708806216717,22300,779,0.9373566508293152,446000,1.7645282745361328
0.00773209985345602,22400,779,0.9430068172514439,448000,1.7774789333343506
0.0030471044592559338,22500,779,0.9291073903441429,450000,1.767676591873169
0.05984877422451973,22600,779,0.5708493888378143,452000,1.7690937519073486
0.006273162551224232,22700,779,0.9268432781100273,454000,1.7779080867767334
0.044904205948114395,22800,779,0.6110039055347443,456000,1.7793247699737549
0.0011460252571851015,22900,779,0.8904174864292145,458000,1.7820876836776733
0.006610693875700235,23000,779,0.914726011455059,460000,1.7829086780548096
0.042547356337308884,23100,779,0.48244714736938477,462000,1.7786848545074463
0.038125403225421906,23200,779,0.631176233291626,464000,1.784994125366211
0.0013231594348326325,23300,779,0.8967310786247253,466000,1.7850086688995361
0.00211698398925364,23400,779,0.9763564188033342,468000,1.7842075824737549
0.015515411272644997,23500,779,0.8936242312192917,470000,1.7817115783691406
0.010896644555032253,23600,779,0.8562142550945282,472000,1.786119818687439
0.00437635974958539,23700,779,0.9606871865689754,474000,1.7876819372177124
0.017085816711187363,23800,779,0.836196705698967,476000,1.7888844013214111
0.008378099650144577,23900,779,0.9715466797351837,478000,1.7882016897201538
0.006581961177289486,24000,779,0.9511364474892616,480000,1.7823188304901123
0.011993641033768654,24100,779,0.8538855016231537,482000,1.7833592891693115
0.002427297178655863,24200,779,0.9601408652961254,484000,1.7844711542129517
0.0038814707659184933,24300,779,0.9667551852762699,486000,1.7835147380828857
0.003765801666304469,24400,779,0.8241546750068665,488000,1.7863547801971436
0.003324352903291583,24500,779,0.9866692535579205,490000,1.7865995168685913
0.036361079663038254,24600,779,0.7936683893203735,492000,1.778847336769104
0.0010025684023275971,24700,779,-0.08220779895782471,494000,1.788590669631958
0.0035122104454785585,24800,779,0.9802896063774824,496000,1.7869040966033936
0.01618230901658535,24900,779,0.7766989916563034,498000,1.7851816415786743
0.060635633766651154,25000,779,0.39871764183044434,500000,1.7812159061431885
0.0032846867106854916,25100,779,0.45194917917251587,502000,1.784521460533142
0.010684909299015999,25200,779,0.4473782181739807,504000,1.7849490642547607
0.0067878467962145805,25300,779,0.8691199868917465,506000,1.7820262908935547
0.0036132161039859056,25400,779,0.9598476588726044,508000,1.7851165533065796
0.0027912906371057034,25500,779,0.9606010392308235,510000,1.7744300365447998
0.008239153772592545,25600,779,0.9217077344655991,512000,1.7708847522735596
0.005290853790938854,25700,779,0.9578584060072899,514000,1.7702219486236572
0.025509685277938843,25800,779,0.7536811232566833,516000,1.7807289361953735
0.029386410489678383,25900,779,0.4877861738204956,518000,1.7742273807525635
0.003509481903165579,26000,779,0.6227976977825165,520000,1.764400839805603
0.029854455962777138,26100,779,0.6494163572788239,522000,1.7795264720916748
0.007745862938463688,26200,779,0.7575377225875854,524000,1.7806800603866577
0.0018337672809138894,26300,779,0.9741040971130133,526000,1.780648946762085
0.013165546581149101,26400,779,0.8021061569452286,528000,1.7804813385009766
0.0028193951584398746,26500,779,0.9683651700615883,530000,1.785231590270996
0.002155740512534976,26600,779,0.949298445135355,532000,1.7826541662216187
0.0021019517444074154,26700,779,0.9968830505385995,534000,1.7834722995758057
0.015057484619319439,26800,779,0.9279550537467003,536000,1.7823492288589478
0.0035527795553207397,26900,779,0.9613786488771439,538000,1.7857509851455688
0.004937510006129742,27000,779,0.9734893422573805,540000,1.7832187414169312
0.0021106533240526915,27100,779,0.9877797551453114,542000,1.7855507135391235
0.011593136005103588,27200,779,0.9155720770359039,544000,1.784247636795044
0.02594725787639618,27300,779,0.1679668426513672,546000,1.7844438552856445
0.004526644013822079,27400,779,-0.026210784912109375,548000,1.781765341758728
0.001965973526239395,27500,779,0.9886364880949259,550000,1.7793220281600952
0.044739168137311935,27600,779,0.4584212303161621,552000,1.7754026651382446
0.002207733690738678,27700,779,0.9726634565740824,554000,1.7804136276245117
0.003567542415112257,27800,779,0.9464881755411625,556000,1.7844457626342773
0.02646544575691223,27900,779,0.7967105805873871,558000,1.780289888381958
0.005766333546489477,28000,779,0.9777219370007515,560000,1.7861568927764893
0.012702591717243195,28100,779,0.924082525074482,562000,1.7879526615142822
0.0013125354889780283,28200,779,0.9901054818183184,564000,1.788041353225708
0.005757407285273075,28300,779,0.8498159795999527,566000,1.787398338317871
0.006639120168983936,28400,779,0.9248898327350616,568000,1.7885468006134033
0.005487613379955292,28500,779,0.9298525378108025,570000,1.7856009006500244
0.014965573325753212,28600,779,0.7103866636753082,572000,1.7852904796600342
0.014331251382827759,28700,779,0.7314674258232117,574000,1.7862789630889893
0.013561753556132317,28800,779,0.790581688284874,576000,1.7870395183563232
0.0023321276530623436,28900,779,0.9827028997242451,578000,1.7850122451782227
0.009975419379770756,29000,779,0.7925095111131668,580000,1.7885252237319946
0.012970313429832458,29100,779,0.968814866617322,582000,1.7865724563598633
0.0015611234121024609,29200,779,0.9934011120349169,584000,1.7830002307891846
0.022644897922873497,29300,779,0.5039730966091156,586000,1.7872059345245361
0.004204816184937954,29400,779,0.9907752359285951,588000,1.7880252599716187
0.028732717037200928,29500,779,0.8058353960514069,590000,1.7878224849700928
0.01095231156796217,29600,779,0.882424034178257,592000,1.7790796756744385
0.009585527703166008,29700,779,0.7721128463745117,594000,1.7776343822479248
0.014902250841259956,29800,779,0.7522653937339783,596000,1.7762739658355713
0.0043999566696584225,29900,779,0.9758518952876329,598000,1.7835752964019775
0.003596038091927767,30000,779,0.9366168826818466,600000,1.7780752182006836
0.02024490013718605,30100,779,0.41921448707580566,602000,1.7826032638549805
0.00444838497787714,30200,779,0.9176283627748489,604000,1.7746646404266357
0.0010385462082922459,30300,779,0.8048781901597977,606000,1.7811057567596436
0.0033558285795152187,30400,779,0.9249200895428658,608000,1.7798902988433838
0.004609019495546818,30500,779,0.925094872713089,610000,1.784043550491333
0.012983262538909912,30600,779,0.9559063166379929,612000,1.779134750366211
0.000936302007175982,30700,779,0.9765552692115307,614000,1.7824615240097046
0.0006231722654774785,30800,779,0.9974240781739354,616000,1.7840735912322998
0.00250883586704731,30900,779,0.9649841822683811,618000,1.784517526626587
0.010812075808644295,31000,779,0.9261020123958588,620000,1.7846494913101196
0.0015089798253029585,31100,779,0.9787416514009237,622000,1.7868635654449463
0.005930766463279724,31200,779,0.9621819891035557,624000,1.7877590656280518
0.009733473882079124,31300,779,0.8703268766403198,626000,1.787379503250122
0.0029841631185263395,31400,779,0.9774702414870262,628000,1.7869462966918945
0.004332541022449732,31500,779,0.8770005404949188,630000,1.7874372005462646
0.009861779399216175,31600,779,0.9370514303445816,632000,1.786900281906128
0.002692367183044553,31700,779,0.9017588570713997,634000,1.7863200902938843
0.010824237950146198,31800,779,0.9512805342674255,636000,1.7864567041397095
0.005992049816995859,31900,779,0.985042667016387,638000,1.785683035850525
0.0189199335873127,32000,779,0.8652471005916595,640000,1.7877795696258545
0.04058442637324333,32100,779,0.8548307865858078,642000,1.7871748208999634
0.022770853713154793,32200,779,0.011868298053741455,644000,1.7879024744033813
0.01744646020233631,32300,779,0.9148916155099869,646000,1.7899205684661865
0.0022785989567637444,32400,779,0.5939156115055084,648000,1.7883338928222656
0.0014975265366956592,32500,779,0.918614499270916,650000,1.7873878479003906
0.03769174590706825,32600,779,0.5795895457267761,652000,1.784873366355896
0.001836624345742166,32700,779,0.9654295369982719,654000,1.785585641860962
0.02991718426346779,32800,779,0.59836545586586,656000,1.7855663299560547
0.004049879498779774,32900,778,0.9655511155724525,658000,1.7838032245635986
0.004892376717180014,33000,778,0.9320720732212067,660000,1.7809594869613647
0.004329419229179621,33100,778,0.7853433042764664,662000,1.7774245738983154
0.004409723915159702,33200,778,0.9406793639063835,664000,1.7826621532440186
0.007352568209171295,33300,778,0.4345857501029968,666000,1.7833515405654907
0.014853037893772125,33400,778,0.5905818045139313,668000,1.7862743139266968
0.009656243957579136,33500,778,0.8297897428274155,670000,1.7830522060394287
0.0056455740705132484,33600,778,0.9576567746698856,672000,1.785618543624878
0.003891365136951208,33700,778,0.9708291534334421,674000,1.7873246669769287
0.11455796658992767,33800,778,0.08033967018127441,676000,1.7890005111694336
0.019151531159877777,33900,778,0.6484506726264954,678000,1.788930892944336
0.0021996288560330868,34000,778,0.9541516713798046,680000,1.7881027460098267
0.002052465220913291,34100,778,0.9901009099557996,682000,1.78839111328125
0.02017165906727314,34200,778,0.5182009935379028,684000,1.7830966711044312
0.03037724457681179,34300,778,0.7025378346443176,686000,1.7865114212036133
0.003800866659730673,34400,778,0.9639933332800865,688000,1.7855231761932373
0.02210593782365322,34500,778,0.7220543026924133,690000,1.7862300872802734
0.0015754569321870804,34600,778,0.9455386474728584,692000,1.7866811752319336
0.001761466613970697,34700,778,0.9370469450950623,694000,1.7907634973526
0.0019989239517599344,34800,778,0.9530793316662312,696000,1.789473295211792
0.01502228993922472,34900,778,0.7953607439994812,698000,1.7888729572296143
0.0017279675230383873,35000,778,0.9615959860384464,700000,1.7863374948501587
0.003015152644366026,35100,778,0.9070952534675598,702000,1.778836965560913
0.0012207113904878497,35200,778,0.9488352090120316,704000,1.7797666788101196
0.006327965296804905,35300,778,0.9399975314736366,706000,1.7796576023101807
0.003641357645392418,35400,778,0.8856142982840538,708000,1.7857633829116821
0.0017762063071131706,35500,778,0.9778483510017395,710000,1.780313491821289
0.010538419708609581,35600,778,0.8829346150159836,712000,1.7805267572402954
0.013146412558853626,35700,778,0.8530181795358658,714000,1.7857091426849365
0.02551809325814247,35800,778,0.5745154917240143,716000,1.785133957862854
0.00481055025011301,35900,778,0.9429618269205093,718000,1.7901504039764404
0.009160449728369713,36000,778,0.9128096029162407,720000,1.7829506397247314
0.009192800149321556,36100,778,0.8348639458417892,722000,1.7907705307006836
0.0042383549734950066,36200,778,0.9611508436501026,724000,1.788370132446289
0.004821014124900103,36300,778,0.9880857104435563,726000,1.786210060119629
0.004343714565038681,36400,778,0.884984664618969,728000,1.7871500253677368
0.06450813263654709,36500,778,0.8179701715707779,730000,1.7888504266738892
0.07183749973773956,36600,778,0.697193056344986,732000,1.788621187210083
0.0024559146258980036,36700,778,0.9832626562565565,734000,1.7868082523345947
0.0045679109171032906,36800,778,0.9120705425739288,736000,1.7872177362442017
0.007525264285504818,36900,778,0.704770028591156,738000,1.7870118618011475
0.007075457368046045,37000,778,0.9073366448283195,740000,1.781642198562622
0.05061803013086319,37100,778,0.701456606388092,742000,1.7882483005523682
0.004444336052983999,37200,778,0.910863421857357,744000,1.7880795001983643
0.005491932388395071,37300,778,0.9287729039788246,746000,1.7881457805633545
0.0048037441447377205,37400,778,0.863780677318573,748000,1.7886645793914795
0.004500176291912794,37500,778,0.9465226866304874,750000,1.7853639125823975
0.029827814549207687,37600,778,0.4793657064437866,752000,1.7776657342910767
0.005004287697374821,37700,778,0.9275732561945915,754000,1.783644676208496
0.003126072231680155,37800,778,0.9078503027558327,756000,1.7819864749908447
0.014196185395121574,37900,778,0.8348725885152817,758000,1.7806026935577393
0.004900287836790085,38000,778,0.9212140589952469,760000,1.7760398387908936
0.011660081334412098,38100,778,0.6935034096240997,762000,1.7817327976226807
0.024320948868989944,38200,778,0.6075411438941956,764000,1.779587984085083
0.005623817443847656,38300,778,0.7379457056522369,766000,1.7795381546020508
0.0005787863628938794,38400,778,0.993125147651881,768000,1.7867990732192993
0.022495051845908165,38500,778,-1.471904993057251,770000,1.7827914953231812
0.01689079776406288,38600,778,-0.007606148719787598,772000,1.7774120569229126
0.001582214841619134,38700,778,0.9796569123864174,774000,1.7759857177734375
0.007990819402039051,38800,778,0.9463498331606388,776000,1.7842891216278076
0.001382457441650331,38900,778,0.9834493827074766,778000,1.7851890325546265
0.0016702912980690598,39000,778,0.9897381365299225,780000,1.787005066871643
0.003799422876909375,39100,777,0.9454326517879963,782000,1.785951018333435
0.07993403822183609,39200,777,0.5239863693714142,784000,1.7879689931869507
0.013931061141192913,39300,777,-0.5237643718719482,786000,1.788072943687439
0.010265914723277092,39400,777,0.6418517231941223,788000,1.7837810516357422
0.01639045774936676,39500,777,0.878925621509552,790000,1.7877604961395264
0.005400431342422962,39600,777,0.9584286287426949,792000,1.7865511178970337
0.0037535454612225294,39700,777,0.8114006221294403,794000,1.7862327098846436
