nupdates,value_loss,policy_entropy,fps,total_timesteps,explained_variance
17500,0.005503836087882519,2.589524030685425,657,350000,0.9953197855502367
17600,0.02726832590997219,2.854454517364502,657,352000,0.931541845202446
17700,0.01969156228005886,2.8567066192626953,657,354000,0.9630115255713463
17800,0.01703193597495556,2.838313341140747,657,356000,0.9822877626866102
17900,0.013663070276379585,2.4216175079345703,657,358000,0.9861037721857429
18000,0.003403525101020932,2.835153102874756,657,360000,0.9927829769439995
18100,0.01384745817631483,2.880585193634033,657,362000,0.8743386119604111
18200,0.004352181684225798,2.862246036529541,657,364000,0.9801723603159189
18300,5.512736242963001e-05,2.8824944496154785,657,366000,0.9937426242977381
18400,0.0215679369866848,2.725095272064209,657,368000,0.986356396228075
18500,0.012706455774605274,2.0271472930908203,657,370000,0.9925098470412195
18600,0.05742260813713074,2.8235905170440674,657,372000,0.864587739109993
18700,0.02214263565838337,2.246741771697998,657,374000,0.9845130871981382
18800,0.006888397969305515,1.7483208179473877,657,376000,0.9966463074088097
18900,0.015100523829460144,2.4992260932922363,657,378000,0.9885263536125422
19000,0.00013273637159727514,2.8850507736206055,657,380000,0.9263408929109573
19100,0.03236011788249016,2.5396640300750732,657,382000,0.979558490216732
19200,0.0030391260515898466,2.865067958831787,657,384000,0.9854237698018551
19300,0.0021664584055542946,2.880270481109619,657,386000,0.9927549110725522
19400,0.0041312663815915585,2.4624528884887695,657,388000,0.9977825165260583
19500,0.00520467571914196,2.8264474868774414,657,390000,0.9957292582839727
19600,0.019477080553770065,2.87359619140625,657,392000,0.9312441423535347
19700,0.005015495698899031,2.847363233566284,657,394000,0.9804588351398706
19800,0.0030253154691308737,2.7890615463256836,657,396000,0.9970204893033952
19900,0.04707639291882515,2.839453935623169,657,398000,0.8047882169485092
20000,0.007943710312247276,2.7653374671936035,657,400000,0.995151050388813
20100,0.0068038045428693295,2.418257474899292,657,402000,0.9965707969386131
20200,0.0029313373379409313,2.7428171634674072,657,404000,0.997370608150959
20300,0.000553568301256746,2.7799882888793945,657,406000,0.9995745550259016
20400,0.007835173048079014,2.458141565322876,657,408000,0.9959986344911158
20500,0.01837223768234253,2.846160650253296,657,410000,0.9790217913687229
20600,0.07458474487066269,2.8707733154296875,657,412000,0.4257044792175293
20700,0.1925562173128128,2.671618700027466,657,414000,0.8827933147549629
20800,0.03561476618051529,2.3856658935546875,657,416000,0.9834309555590153
20900,0.005349148530513048,2.6018307209014893,657,418000,0.9948579575866461
21000,0.0120848398655653,2.710689067840576,657,420000,0.9936639266088605
21100,0.0010315467370674014,2.5827672481536865,657,422000,0.9993020661640912
21200,0.012837817892432213,2.8684144020080566,657,424000,0.9858620408922434
21300,0.00010256238601868972,2.883690595626831,657,426000,0.9969249030109495
21400,0.043830614537000656,2.8042871952056885,657,428000,0.9505687467753887
21500,0.013356955721974373,2.599263906478882,657,430000,0.9897203994914889
21600,0.0680973082780838,2.6176750659942627,657,432000,0.9509267508983612
21700,0.0019616999197751284,2.733964681625366,657,434000,0.999307100486476
21800,0.0024034841917455196,2.386141300201416,657,436000,0.9989546586293727
21900,0.011212533339858055,2.161322832107544,657,438000,0.9850672651082277
22000,0.012396426871418953,2.1221413612365723,657,440000,0.9947076407261193
22100,0.0022838818840682507,2.5313267707824707,657,442000,0.9986180744599551
22200,0.011669605039060116,2.751093626022339,657,444000,0.9561187773942947
22300,0.003414961276575923,2.7733314037323,657,446000,0.9963912812527269
22400,0.0027531960513442755,2.882514715194702,657,448000,0.4800795316696167
22500,0.010259324684739113,2.5942623615264893,657,450000,0.9937985194846988
22600,0.00130409502889961,2.8834917545318604,657,452000,0.6632599234580994
22700,0.014288989827036858,2.059330701828003,657,454000,0.9904400175437331
22800,0.02936137095093727,2.3128585815429688,657,456000,0.9460814110934734
22900,0.005881885997951031,2.5259718894958496,657,458000,0.9971653735265136
23000,0.01093387883156538,2.237104892730713,657,460000,0.9953967952169478
23100,0.05798989534378052,2.5553860664367676,657,462000,0.956432580947876
23200,0.009612265042960644,2.5485408306121826,657,464000,0.9946861532516778
23300,0.10414359718561172,2.532160997390747,657,466000,0.8958590775728226
23400,0.009640530683100224,2.3152828216552734,657,468000,0.9956029201857746
23500,0.07888029515743256,2.7128329277038574,657,470000,0.9477259144186974
23600,0.011198507621884346,2.6475353240966797,657,472000,0.9924235851503909
23700,0.04084803909063339,2.5808796882629395,657,474000,0.9844430275261402
23800,0.005561168305575848,2.6766445636749268,657,476000,0.9974672761745751
23900,0.0026179093401879072,2.595613479614258,657,478000,0.9991026792558841
24000,0.03656207397580147,2.5830445289611816,657,480000,0.9750187993049622
24100,0.02147631160914898,2.595672845840454,657,482000,0.9876059275120497
24200,0.0033434159122407436,2.5882675647735596,657,484000,0.9989917146740481
24300,0.00235460652038455,2.6823465824127197,657,486000,0.9990201246691868
24400,0.03765769675374031,2.7433724403381348,657,488000,0.8523745238780975
24500,0.009923825040459633,2.70771861076355,657,490000,0.9832877982407808
24600,0.0024974592961370945,2.8826889991760254,657,492000,0.6896435916423798
24700,0.001995683880522847,2.778918981552124,657,494000,0.9953425657004118
