fps,value_loss,nupdates,policy_entropy,explained_variance,total_timesteps
845,0.0005604116013273597,26900,1.7903728485107422,0.8119853734970093,538000
845,0.00028763763839378953,27000,1.7903614044189453,0.9906609561294317,540000
845,0.001005805330350995,27100,1.789860486984253,0.9803682882338762,542000
845,0.00015124958008527756,27200,1.7903518676757812,0.9951172056607902,544000
845,0.00030743793467991054,27300,1.7903398275375366,0.9658070541918278,546000
845,0.001982848159968853,27400,1.7903480529785156,0.859250545501709,548000
845,0.00024195489822886884,27500,1.7907177209854126,0.9405197687447071,550000
845,0.00018972947145812213,27600,1.7906367778778076,0.9707170929759741,552000
845,8.635990525363013e-05,27700,1.790347695350647,0.9894505050033331,554000
845,0.0040114568546414375,27800,1.7902761697769165,0.9530135318636894,556000
845,0.0010674962541088462,27900,1.7902895212173462,0.951870609074831,558000
845,0.00016496368334628642,28000,1.7898530960083008,0.9879781696945429,560000
845,0.002602966036647558,28100,1.7893078327178955,0.8653529584407806,562000
845,0.004807651974260807,28200,1.78955078125,0.8815390393137932,564000
845,0.0005951010389253497,28300,1.7895739078521729,0.793480858206749,566000
845,0.0005662271869368851,28400,1.7887403964996338,0.9829308800399303,568000
845,0.004731046501547098,28500,1.789158582687378,0.8461623340845108,570000
845,0.00018624155200086534,28600,1.7901779413223267,0.9842688012868166,572000
845,0.00018649964476935565,28700,1.7897367477416992,0.9969659713096917,574000
845,0.0003291335888206959,28800,1.790611982345581,-0.5039777755737305,576000
845,0.0006007378688082099,28900,1.7905025482177734,0.8982220888137817,578000
845,0.001361180329695344,29000,1.790421485900879,0.9277452677488327,580000
845,0.0005932377534918487,29100,1.7894401550292969,0.9666098952293396,582000
845,0.0058794645592570305,29200,1.7883598804473877,0.6142298877239227,584000
845,0.0017477944493293762,29300,1.7887980937957764,0.9650988690555096,586000
845,0.001179731567390263,29400,1.78861403465271,0.9807283114641905,588000
845,0.004591184668242931,29500,1.7899656295776367,0.7203899621963501,590000
