total_timesteps,fps,policy_entropy,value_loss,explained_variance,nupdates
5440000,520,2.1118741035461426,0.008612819947302341,0.9869794454425573,272000
5442000,520,2.0687849521636963,0.027445826679468155,0.9374687522649765,272100
5444000,520,2.0992465019226074,0.01195764821022749,0.971625879406929,272200
5446000,520,1.9065415859222412,0.0028000755701214075,0.9930431176908314,272300
5448000,521,1.851320505142212,0.00534667307510972,0.991017933934927,272400
5450000,521,2.0672194957733154,0.0072774686850607395,0.9845635369420052,272500
5452000,521,1.7951641082763672,0.02755521796643734,0.9475051872432232,272600
5454000,521,1.6869392395019531,0.004383571445941925,0.9931771312840283,272700
5456000,521,2.0415897369384766,0.007642751093953848,0.879612885415554,272800
5458000,521,1.8081748485565186,0.006556411739438772,0.9781623519957066,272900
5460000,521,1.8167388439178467,0.011994235217571259,0.9721265565603971,273000
5462000,521,1.7484241724014282,0.0028447911608964205,0.9974303687922657,273100
5464000,521,1.857699990272522,0.25930872559547424,0.7050902247428894,273200
5466000,521,1.864851713180542,0.012250634841620922,0.9876901032403111,273300
5468000,521,1.865862250328064,0.02368827536702156,0.9489438980817795,273400
5470000,521,1.9591350555419922,0.008724356070160866,0.8914862871170044,273500
5472000,521,2.0696282386779785,0.0011740097543224692,0.9944190201349556,273600
5474000,521,2.081778049468994,0.008833173662424088,0.9834697563201189,273700
5476000,521,2.073157548904419,0.008674937300384045,0.8857379034161568,273800
5478000,521,1.9649288654327393,0.027961421757936478,0.9546197131276131,273900
