total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,fps
36400,0.5623356401920319,1.7844294309616089,4.710343273472972e-05,9100,464
36800,0.9357147067785263,1.7875193357467651,4.457142131286673e-05,9200,464
37200,0.9166983142495155,1.7869272232055664,4.628069291356951e-05,9300,463
37600,0.8776299208402634,1.7905160188674927,4.697700933320448e-05,9400,463
38000,-0.1027909517288208,1.7815799713134766,4.6583554649259895e-05,9500,463
38400,0.9129679277539253,1.784533977508545,4.4471482397057116e-05,9600,463
38800,0.9665114879608154,1.7860853672027588,4.845312287216075e-05,9700,462
39200,0.34009939432144165,1.786865472793579,4.829917088500224e-05,9800,462
39600,0.9301958233118057,1.7775291204452515,3.56664095306769e-05,9900,462
40000,0.9836873542517424,1.7705252170562744,4.224377335049212e-05,10000,462
40400,-6.318092346191406e-05,1.765936017036438,0.24567031860351562,10100,461
40800,0.9396233484148979,1.768317461013794,3.644152093329467e-05,10200,461
41200,0.5016535818576813,1.769524335861206,4.244597221259028e-05,10300,461
41600,-3.6445584297180176,1.772049069404602,3.452240343904123e-05,10400,461
42000,0.9916700161993504,1.7670223712921143,4.6496079448843375e-05,10500,461
42400,0.7786002457141876,1.76982843875885,5.839312507305294e-05,10600,460
42800,0.505184143781662,1.7532577514648438,7.222255226224661e-05,10700,460
43200,0.9511787183582783,1.7537788152694702,6.524007767438889e-05,10800,460
43600,-4.029273986816406e-05,1.7571508884429932,0.12247548252344131,10900,460
44000,0.9793978370726109,1.7574018239974976,3.8531805330421776e-05,11000,460
44400,0.9105803146958351,1.7556557655334473,5.405679257819429e-05,11100,459
44800,0.8885728716850281,1.7564753293991089,4.052858639624901e-05,11200,459
45200,0.8469235152006149,1.7650214433670044,4.757610076921992e-05,11300,459
45600,0.9935829909518361,1.7555166482925415,5.025545397074893e-05,11400,459
46000,0.9681182205677032,1.772627353668213,5.021450488129631e-05,11500,459
46400,0.8018340319395065,1.7689557075500488,5.7286739320261404e-05,11600,459
46800,0.9996306987304706,1.780215859413147,6.435690738726407e-05,11700,458
47200,0.9987414225470275,1.7846354246139526,6.917506107129157e-05,11800,458
47600,0.9927878133021295,1.7748730182647705,4.8678852181183174e-05,11900,458
48000,0.9948206841945648,1.7820096015930176,5.413578765001148e-05,12000,458
48400,0.9225134998559952,1.7648223638534546,5.819881334900856e-05,12100,458
48800,0.6182655096054077,1.7649561166763306,5.867311483598314e-05,12200,458
49200,0.9974945562426001,1.7684440612792969,5.727614552597515e-05,12300,457
49600,0.9990033999783918,1.7684496641159058,6.361419218592346e-05,12400,457
50000,0.00011587142944335938,1.7803809642791748,0.1223193034529686,12500,457
50400,0.9981673090951517,1.7823997735977173,4.766297206515446e-05,12600,457
50800,0.9956286824308336,1.789598822593689,5.690434045391157e-05,12700,457
51200,-0.002966761589050293,1.7835410833358765,0.12255287915468216,12800,456
51600,0.9950139792636037,1.7813200950622559,4.1873514419421554e-05,12900,456
52000,0.99454749468714,1.7830345630645752,3.8708156353095546e-05,13000,456
52400,0.8676575720310211,1.7834835052490234,3.234489122405648e-05,13100,456
52800,-3.814697265625e-06,1.7882544994354248,0.12297812849283218,13200,456
53200,0.9971507031004876,1.7846171855926514,4.7752622776897624e-05,13300,456
53600,0.9937171642668545,1.7697739601135254,5.005020648241043e-05,13400,456
54000,0.989394343458116,1.7695209980010986,4.021010681753978e-05,13500,456
54400,0.996745198732242,1.7811641693115234,4.9672580644255504e-05,13600,455
54800,0.9977918234653771,1.7832456827163696,5.470492396852933e-05,13700,455
55200,0.9957150397822261,1.7840032577514648,7.019903569016606e-05,13800,455
55600,0.9989684388274327,1.783346176147461,5.3488827688852325e-05,13900,455
56000,0.9971453382167965,1.7588081359863281,6.880040018586442e-05,14000,455
56400,0.9972764553967863,1.7700005769729614,6.673907046206295e-05,14100,455
56800,0.9985367086483166,1.778303861618042,7.52100459067151e-05,14200,455
57200,0.9978083092719316,1.7780156135559082,5.7717959862202406e-05,14300,455
57600,0.9992537632351741,1.782421588897705,5.065279401605949e-05,14400,455
58000,0.9991288849851117,1.7870092391967773,5.826885171700269e-05,14500,454
58400,0.9618647918105125,1.7811870574951172,5.892910121474415e-05,14600,454
58800,0.9988448803778738,1.7861865758895874,5.1556111429817975e-05,14700,454
59200,0.9995077372295782,1.780226230621338,5.499389226315543e-05,14800,454
59600,0.9949867683462799,1.778095006942749,5.468425661092624e-05,14900,454
60000,0.9003918841481209,1.776338815689087,5.672403494827449e-05,15000,454
60400,0.9528977945446968,1.7799075841903687,5.4890813771635294e-05,15100,454
60800,0.9986798095051199,1.782289743423462,5.118616536492482e-05,15200,454
61200,0.9989111649338156,1.7783658504486084,4.9505120841786265e-05,15300,454
61600,0.02779090404510498,1.764042854309082,0.12259634584188461,15400,454
62000,0.0027213096618652344,1.7684648036956787,0.12240511178970337,15500,453
62400,0.9991781929857098,1.7565137147903442,5.385660915635526e-05,15600,453
62800,4.470348358154297e-06,1.722266674041748,0.12242181599140167,15700,453
63200,-0.00033104419708251953,1.7503230571746826,0.24473409354686737,15800,453
63600,0.9689559936523438,1.7374694347381592,4.726864426629618e-05,15900,453
64000,0.9917539581656456,1.7391072511672974,3.4411201340844855e-05,16000,453
64400,0.9956486043520272,1.7817585468292236,4.024824738735333e-05,16100,453
64800,0.999396541621536,1.7878087759017944,5.1459639507811517e-05,16200,453
65200,0.9994406308396719,1.7904753684997559,3.574052607291378e-05,16300,453
65600,0.9995080148219131,1.785785436630249,3.219218706362881e-05,16400,452
66000,0.9995699691062327,1.7824203968048096,4.211170016787946e-05,16500,452
66400,0.9996247373928782,1.7861326932907104,5.085526208858937e-05,16600,452
66800,0.9996536953840405,1.7908000946044922,5.112350481795147e-05,16700,452
67200,0.9811223857104778,1.7798118591308594,6.179737101774663e-05,16800,452
67600,0.8522485345602036,1.7851088047027588,5.94032317167148e-05,16900,452
68000,0.9356119856238365,1.7816364765167236,5.592910019913688e-05,17000,452
68400,0.9932351666502655,1.776254415512085,5.2008173952344805e-05,17100,452
68800,0.00956803560256958,1.7724123001098633,0.12268592417240143,17200,452
69200,0.9995868080295622,1.788420557975769,4.82074792671483e-05,17300,452
