nupdates,value_loss,fps,policy_entropy,explained_variance,total_timesteps
346000,0.020559249445796013,703,2.8138058185577393,0.9050971493124962,6920000
346100,0.13355925679206848,703,2.868328809738159,0.289978563785553,6922000
346200,0.0007776629063300788,703,2.86584210395813,0.9960702219977975,6924000
346300,0.0030427200254052877,703,2.883436918258667,0.9310058206319809,6926000
346400,0.002687727566808462,703,2.81957745552063,0.9863969720900059,6928000
346500,0.008043686859309673,703,2.860773801803589,-1.4260969161987305,6930000
346600,0.01686367206275463,703,2.8673949241638184,0.8695782870054245,6932000
346700,0.0077629415318369865,703,2.865424394607544,0.9708244428038597,6934000
346800,0.04659492149949074,703,2.878709077835083,0.7624548971652985,6936000
346900,0.031826842576265335,703,2.8710567951202393,0.8371215164661407,6938000
347000,0.003284825012087822,703,2.8074088096618652,0.9780818801373243,6940000
347100,0.001360520487651229,703,2.720123767852783,0.965544581413269,6942000
347200,0.00851343758404255,703,2.876817226409912,0.9337390586733818,6944000
347300,0.009626438841223717,703,2.879801034927368,0.7337266504764557,6946000
347400,0.0013708688784390688,703,2.8728668689727783,0.9806261472404003,6948000
347500,0.08846711367368698,703,2.8634843826293945,0.9002738296985626,6950000
347600,0.00215020589530468,703,2.8789069652557373,0.9729746840894222,6952000
347700,0.005418254062533379,703,2.791684627532959,0.8811449706554413,6954000
347800,0.0028812498785555363,703,2.8800463676452637,0.9708796925842762,6956000
347900,0.02119102142751217,703,2.868788957595825,0.8353080302476883,6958000
348000,0.03522324189543724,703,2.857363224029541,0.896762028336525,6960000
348100,0.012621049769222736,703,2.878709077835083,0.9175188764929771,6962000
348200,0.01428550761193037,703,2.8724758625030518,0.9465267844498158,6964000
348300,0.003204428358003497,703,2.8246021270751953,0.9772184696048498,6966000
348400,0.005094648338854313,703,2.8452181816101074,0.9868865227326751,6968000
348500,0.05400063842535019,703,2.882725954055786,0.5352069139480591,6970000
348600,0.002034603850916028,703,2.874573230743408,0.9745305012911558,6972000
348700,0.0037212600000202656,703,2.878920078277588,0.9414104036986828,6974000
348800,0.07466046512126923,703,2.872706651687622,0.819012314081192,6976000
348900,0.0019303750013932586,703,2.879730701446533,0.9666712880134583,6978000
349000,0.0003276404459029436,703,2.8749606609344482,0.9790208153426647,6980000
349100,0.002362861530855298,703,2.8699257373809814,0.9839202016592026,6982000
349200,0.0052148327231407166,703,2.86909818649292,0.9761156104505062,6984000
349300,0.03534062206745148,703,2.878108501434326,0.834693193435669,6986000
349400,0.0006510458188131452,703,2.8800606727600098,0.9836784787476063,6988000
349500,0.0039319610223174095,703,2.8672001361846924,0.9867159454151988,6990000
349600,0.00836377777159214,703,2.8835456371307373,0.8598523139953613,6992000
