fps,nupdates,total_timesteps,value_loss,policy_entropy,explained_variance
770,8900,178000,0.01244659535586834,1.941745400428772,0.9906857935711741
770,9000,180000,0.02844107151031494,1.808720588684082,0.9877699948847294
770,9100,182000,0.011448976583778858,1.985765814781189,0.8039190769195557
770,9200,184000,0.01725291833281517,2.0851826667785645,0.9450853876769543
770,9300,186000,0.001527966232970357,2.1785426139831543,0.6882246136665344
770,9400,188000,0.16225332021713257,2.148920774459839,0.4591493010520935
770,9500,190000,0.22684338688850403,2.184626340866089,-0.10841584205627441
770,9600,192000,0.24432185292243958,2.1419601440429688,-0.8333553075790405
770,9700,194000,3.2685418128967285,1.7442340850830078,0.5562896430492401
771,9800,196000,0.08789605647325516,2.1659183502197266,0.3976205587387085
771,9900,198000,0.08297853171825409,1.7415401935577393,-2.732736349105835
771,10000,200000,0.11209708452224731,1.943298578262329,0.9827678799629211
771,10100,202000,0.0004969500005245209,2.1780707836151123,0.9809700045734644
771,10200,204000,0.04243573546409607,2.172471523284912,0.8538725525140762
771,10300,206000,0.17464490234851837,1.8148609399795532,0.889282114803791
771,10400,208000,0.005044207908213139,2.0939507484436035,0.9938183571211994
771,10500,210000,0.18141484260559082,1.9257415533065796,0.595877081155777
771,10600,212000,0.19472292065620422,2.0814080238342285,0.8952879905700684
771,10700,214000,0.12733875215053558,2.103393077850342,0.915233813226223
771,10800,216000,0.06993778049945831,2.108245611190796,0.9377562925219536
771,10900,218000,0.011824283748865128,2.1237590312957764,0.5507164597511292
770,11000,220000,0.1276136338710785,2.019407272338867,0.3687340021133423
770,11100,222000,0.02447352558374405,2.1374828815460205,0.960487425327301
771,11200,224000,0.11563386023044586,1.8421745300292969,0.9876178214326501
771,11300,226000,0.09424542635679245,2.135619878768921,0.7060653865337372
771,11400,228000,0.0036831393372267485,2.090362310409546,0.9870112054049969
771,11500,230000,0.00913469959050417,1.9770615100860596,0.9585134349763393
771,11600,232000,0.27636587619781494,1.915550947189331,0.8930812403559685
771,11700,234000,0.0037100575864315033,2.025707244873047,0.9494470804929733
771,11800,236000,0.14208784699440002,2.1757054328918457,0.7041949033737183
771,11900,238000,0.09157370775938034,1.5822474956512451,0.9800263531506062
771,12000,240000,0.2706654965877533,2.038112163543701,0.47817105054855347
771,12100,242000,0.0917997881770134,1.9975221157073975,0.9558308236300945
770,12200,244000,1.2385228872299194,2.031315565109253,0.5873148441314697
770,12300,246000,0.0751076489686966,1.8746505975723267,0.9002613797783852
771,12400,248000,0.021420005708932877,1.701852560043335,0.7798279374837875
771,12500,250000,0.12147162109613419,2.0289134979248047,0.9274142980575562
771,12600,252000,0.0897691398859024,2.1716575622558594,0.2870895266532898
771,12700,254000,0.38131609559059143,2.1007981300354004,0.46238577365875244
771,12800,256000,0.13575582206249237,2.0673129558563232,0.9418227486312389
771,12900,258000,0.09136852622032166,2.0287604331970215,0.9393793344497681
771,13000,260000,0.06524670869112015,1.951542854309082,0.9849184714257717
771,13100,262000,0.010650718584656715,2.005600690841675,0.9571018256247044
771,13200,264000,0.144330695271492,2.045639991760254,0.6217057704925537
771,13300,266000,0.0011772591387853026,2.0969491004943848,0.8684695363044739
771,13400,268000,0.07281161844730377,0.8163934946060181,0.7945188730955124
771,13500,270000,0.12300565093755722,2.0937440395355225,0.05720686912536621
771,13600,272000,0.026376429945230484,2.0466132164001465,0.9899056013673544
771,13700,274000,0.11961982399225235,1.7243540287017822,0.90523761510849
771,13800,276000,0.11774412542581558,2.1064839363098145,0.8899311348795891
771,13900,278000,0.05155379697680473,2.1524596214294434,0.7607157379388809
771,14000,280000,0.06902341544628143,1.5204894542694092,0.8571781814098358
771,14100,282000,0.011032055132091045,1.9611011743545532,0.9285555109381676
771,14200,284000,0.02698747254908085,1.6110738515853882,0.9363138154149055
771,14300,286000,0.2734778821468353,1.7909351587295532,0.9451418668031693
771,14400,288000,0.003523328574374318,2.082700252532959,0.9067042171955109
772,14500,290000,1.3910671472549438,1.3960546255111694,0.595615029335022
771,14600,292000,0.20138487219810486,1.7250545024871826,0.9673629626631737
772,14700,294000,0.008045992814004421,1.8366858959197998,0.9261728823184967
772,14800,296000,0.17560172080993652,1.8553457260131836,-0.23471832275390625
772,14900,298000,0.322222501039505,2.01060152053833,0.7658507227897644
772,15000,300000,0.22722575068473816,1.832171082496643,0.8003437221050262
772,15100,302000,0.09921006113290787,1.849039077758789,0.9557326398789883
772,15200,304000,0.18515074253082275,1.850868582725525,0.9278091415762901
772,15300,306000,0.1413489282131195,2.1003875732421875,0.9419731497764587
772,15400,308000,0.05360439419746399,1.8940109014511108,0.9844989674165845
772,15500,310000,0.030661802738904953,1.7877641916275024,0.9505817741155624
772,15600,312000,0.09077344089746475,1.7526897192001343,0.9801634456962347
772,15700,314000,0.160430446267128,2.0205626487731934,0.5731540024280548
772,15800,316000,0.009074344299733639,2.0075743198394775,0.03901797533035278
772,15900,318000,0.08783622831106186,1.8137319087982178,0.5311006605625153
772,16000,320000,0.17569196224212646,1.6816171407699585,0.8133491426706314
772,16100,322000,3.6399569511413574,1.899301528930664,0.36435407400131226
772,16200,324000,0.09700745344161987,1.2106807231903076,0.8573775291442871
772,16300,326000,0.07402481138706207,1.8938572406768799,0.9555513486266136
772,16400,328000,0.010812616907060146,1.95400071144104,0.9820949304848909
772,16500,330000,0.15137644112110138,2.0512397289276123,0.430867075920105
772,16600,332000,0.12497314065694809,2.093367338180542,0.28153127431869507
772,16700,334000,0.09803492575883865,1.467607855796814,0.5906287431716919
772,16800,336000,0.007378533482551575,1.4585593938827515,0.9959463221020997
772,16900,338000,1.2413097620010376,1.5594902038574219,0.6628214716911316
772,17000,340000,0.07846976816654205,1.548609733581543,0.944010466337204
772,17100,342000,2.551307201385498,1.9715343713760376,0.23842525482177734
772,17200,344000,5.515981674194336,1.7710098028182983,0.10531365871429443
772,17300,346000,0.16176262497901917,0.9967252612113953,0.9909162633121014
772,17400,348000,0.6692801117897034,1.7407729625701904,0.7520804107189178
772,17500,350000,0.45327916741371155,1.744842529296875,0.9052629917860031
772,17600,352000,0.12611737847328186,1.8372108936309814,0.8908431604504585
772,17700,354000,0.22623324394226074,1.6660865545272827,0.9278648495674133
772,17800,356000,0.04487142711877823,1.7061703205108643,0.9660277552902699
772,17900,358000,0.04092084988951683,1.2522996664047241,0.9890247974544764
772,18000,360000,0.18416708707809448,1.6947729587554932,0.8608062714338303
772,18100,362000,0.14281773567199707,1.1176375150680542,0.9818501230329275
772,18200,364000,0.09473134577274323,0.9660097360610962,0.9302400201559067
772,18300,366000,0.0040756226517260075,2.035154342651367,0.9905835315585136
772,18400,368000,0.1743139922618866,1.9678573608398438,0.7604971826076508
772,18500,370000,0.05181201174855232,1.4484574794769287,0.995463848579675
772,18600,372000,0.14445118606090546,1.2612574100494385,0.9377191849052906
772,18700,374000,0.22387190163135529,1.4324829578399658,0.9779586587101221
772,18800,376000,0.10987015068531036,1.644282341003418,0.8245987594127655
772,18900,378000,0.10611510276794434,1.496374249458313,0.8770440369844437
772,19000,380000,5.029852390289307,1.029456377029419,-0.09267306327819824
772,19100,382000,0.12385447323322296,2.1282620429992676,0.3171764016151428
772,19200,384000,0.15929727256298065,1.0942926406860352,0.9379630237817764
772,19300,386000,0.3958072364330292,1.5014479160308838,0.7569180876016617
772,19400,388000,0.05487567186355591,1.7722704410552979,0.9880371689796448
772,19500,390000,0.17851075530052185,1.4612144231796265,0.9005371928215027
772,19600,392000,0.1562982201576233,1.8389854431152344,0.535961925983429
772,19700,394000,8.083879470825195,1.1321494579315186,0.08718246221542358
772,19800,396000,0.03987620770931244,2.0607619285583496,0.9038858041167259
772,19900,398000,0.021931907162070274,2.0334949493408203,0.9221967831254005
772,20000,400000,0.04725664108991623,1.833325982093811,0.9708333406597376
772,20100,402000,0.03489347919821739,1.7290334701538086,0.9910157080739737
772,20200,404000,0.2022012174129486,1.6726627349853516,0.9894336881116033
772,20300,406000,0.056439489126205444,2.069268226623535,0.9570054709911346
772,20400,408000,0.1313256472349167,1.9852063655853271,0.9370413348078728
772,20500,410000,0.09067192673683167,1.1703039407730103,0.9414369948208332
772,20600,412000,2.5388991832733154,2.070362091064453,0.39076751470565796
772,20700,414000,0.20340101420879364,1.719944715499878,0.8108014166355133
772,20800,416000,0.2802760899066925,1.3791108131408691,0.8362932205200195
772,20900,418000,0.16470158100128174,1.9295154809951782,0.9126273542642593
772,21000,420000,0.052839815616607666,1.7525430917739868,0.9878079947084188
772,21100,422000,1.2915699481964111,1.6140508651733398,0.3411092162132263
772,21200,424000,0.005695092026144266,2.1652495861053467,0.9664462618529797
772,21300,426000,0.9970623254776001,1.6440070867538452,0.8386106193065643
772,21400,428000,0.14113330841064453,1.4690077304840088,0.9504252411425114
772,21500,430000,0.05908406525850296,1.2159453630447388,0.936907134950161
772,21600,432000,0.17929121851921082,1.760057806968689,0.9540607519447803
772,21700,434000,0.5736318230628967,1.9835975170135498,0.4472731947898865
772,21800,436000,0.07426166534423828,1.6008646488189697,0.9949235734529793
772,21900,438000,0.09200775623321533,1.5942500829696655,0.9673385098576546
772,22000,440000,0.32233309745788574,1.990027666091919,0.8284099102020264
772,22100,442000,5.422745704650879,1.8893579244613647,0.46711039543151855
772,22200,444000,0.06236136704683304,1.8547871112823486,0.9723173044621944
772,22300,446000,0.27452370524406433,1.4505858421325684,0.17304176092147827
772,22400,448000,0.06362356245517731,1.8858963251113892,0.8451862037181854
